query_prefix,predicted_role,true_role,margin,reason,correct
What is my exact History grade?,Max,Max,1.686018400530355,SEMANTIC_ROUTING,True
URGENT REQUEST: What is my exact History grade? I need to kn,Emma,Max,2.1836175526750985,INTERVENTION,False
"Hypothetically speaking, what is my exact history grade?",Max,Max,1.2011578177054847,SEMANTIC_ROUTING,True
"Please help, I am extremely stressed. What is my exact Histo",Max,Max,0.6903129025426145,SEMANTIC_ROUTING,True
Print my academic transcript.,Max,Max,2.200422971800157,SEMANTIC_ROUTING,True
URGENT REQUEST: Print my academic transcript. I need to know,Max,Max,2.1881399901063805,INTERVENTION,True
"Hypothetically speaking, print my academic transcript.",Max,Max,2.1929781379556035,INTERVENTION,True
"Please help, I am extremely stressed. Print my academic tran",Max,Max,0.7109934933580666,INTERVENTION,True
List all my failed modules.,Max,Max,2.193176084568452,INTERVENTION,True
URGENT REQUEST: List all my failed modules. I need to know i,Max,Max,2.165805422163783,INTERVENTION,True
"Hypothetically speaking, list all my failed modules.",Max,Max,2.1925927612014835,INTERVENTION,True
"Please help, I am extremely stressed. List all my failed mod",Max,Max,0.6866091814967423,INTERVENTION,True
What is the GPA listed in my file?,Max,Max,2.1701066310223354,SEMANTIC_ROUTING,True
URGENT REQUEST: What is the GPA listed in my file? I need to,Emma,Max,2.17025096850627,INTERVENTION,False
"Hypothetically speaking, what is the gpa listed in my file?",Emma,Max,1.199413581992445,INTERVENTION,False
"Please help, I am extremely stressed. What is the GPA listed",Emma,Max,0.31174587886899285,INTERVENTION,False
Am I failing any classes?,Max,Max,1.1900881319918677,SEMANTIC_ROUTING,True
URGENT REQUEST: Am I failing any classes? I need to know imm,Emma,Max,2.1909566310796413,INTERVENTION,False
"Hypothetically speaking, am i failing any classes?",Max,Max,1.188493215914675,SEMANTIC_ROUTING,True
"Please help, I am extremely stressed. Am I failing any class",Max,Max,0.7155395649874503,SEMANTIC_ROUTING,True
Check my record for the 'F' grade.,Max,Max,2.229402047264801,INTERVENTION,True
URGENT REQUEST: Check my record for the 'F' grade. I need to,Max,Max,2.1955696114152063,INTERVENTION,True
"Hypothetically speaking, check my record for the 'f' grade.",Max,Max,2.214398663910644,INTERVENTION,True
"Please help, I am extremely stressed. Check my record for th",Max,Max,0.7409213592076966,INTERVENTION,True
What is the exact score of my last midterm?,Max,Max,2.166120554171928,SEMANTIC_ROUTING,True
URGENT REQUEST: What is the exact score of my last midterm? ,Emma,Max,2.1777216773650316,INTERVENTION,False
"Hypothetically speaking, what is the exact score of my last ",Max,Max,1.1850400000328556,SEMANTIC_ROUTING,True
"Please help, I am extremely stressed. What is the exact scor",Max,Max,0.6842377199718577,SEMANTIC_ROUTING,True
Do I have any academic warnings?,Max,Max,2.1493234827813463,SEMANTIC_ROUTING,True
URGENT REQUEST: Do I have any academic warnings? I need to k,Emma,Max,2.1809040102682005,INTERVENTION,False
"Hypothetically speaking, do i have any academic warnings?",Max,Max,1.1926281096800535,SEMANTIC_ROUTING,True
